STATE,Total_Population,Avg_AGI,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel,Year,Rural VMT,Urban VMT,Total VMT
District of Columbia,7719440.0,4.5,1100,1000,13900,0,23500,200,0,0,0,291000,2600,1100,2018,0.0,3690.67797093,3690.67797093
District of Columbia,7719440.0,4.5,1800,1300,13700,0,22500,200,0,0,0,286300,2400,1100,2019,0.0,3756.06975471,3756.06975471
District of Columbia,7719440.0,4.5,2400,1600,14300,0,21900,200,0,0,0,274400,2300,1200,2020,0.0,3030.47397,3030.47397
District of Columbia,7719440.0,4.5,3700,2500,16100,300,17400,100,0,0,0,278900,2100,600,2021,0.0,3247.77543,3247.77543
District of Columbia,7719440.0,4.5,8100,3700,18100,400,16800,100,0,0,0,262500,1800,600,2023,,3481.0,3481.0
District of Columbia,7719440.0,4.5,5900,3200,17200,400,17800,100,0,0,0,272200,2000,600,2022,0.0,3421.0,3421.0
Delaware,10795210.0,4.5,800,1200,12300,0,80700,1200,0,0,0,758500,17000,6900,2018,2469.5994439,7709.78436255,10179.38380645
Delaware,10795210.0,4.5,1300,1300,13200,0,85500,1000,0,0,0,768600,17200,6800,2019,2527.25779675,7717.901119399999,10245.158916149998
Delaware,10795210.0,4.5,1900,1500,14800,0,89700,1000,0,0,0,780600,17900,6600,2020,2021.04094,6324.18867,8345.22961
Delaware,10795210.0,4.5,3000,2000,16700,4100,67400,100,0,0,0,796400,14600,5300,2021,2834.93625,7317.48821,10152.42445
Delaware,10795210.0,4.5,8400,3800,22900,5100,63900,0,0,0,0,791300,14200,5100,2023,2525.0,7192.0,9718.0
Delaware,10795210.0,4.5,5400,2800,19500,4700,66200,0,0,0,0,795400,14500,5100,2022,2623.41821,7249.0,9872.0
Florida,236504760.0,4.5,27400,17400,226900,0,1423900,15500,0,0,0,14541500,386500,135600,2018,36742.04892791,185073.69172738,221815.74065529
Florida,236504760.0,4.5,40300,20400,235300,0,1486600,14200,0,0,0,14726700,408500,139200,2019,37531.031291725005,188983.3848357,226514.416127425
Florida,236504760.0,4.5,58200,22400,248500,0,1513000,13100,0,0,0,14925500,433700,127300,2020,35241.01806,172834.90083,208075.91888
Florida,236504760.0,4.5,95600,32200,287000,129300,1154600,600,100,0,0,15595900,336900,97400,2021,37740.50885,179825.86809,217566.37694
