STATE,Total_Population,Avg_AGI,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel,Year,Rural VMT,Urban VMT,Total VMT
New Mexico,21264720.0,4.5,1900,1600,26800,0,194100,6400,0,0,0,1490400,104300,31600,2019,16423.033840520002,11349.041209875,27772.075050395004
New Mexico,21264720.0,4.5,2600,1900,28500,0,197900,6000,0,0,0,1490700,108100,30300,2020,14210.55419,9545.88142,23756.4356
New Mexico,21264720.0,4.5,4200,2800,32800,25200,156900,200,100,0,0,1569000,87600,24500,2021,16053.82571,10769.57753,26823.40324
New Mexico,21264720.0,4.5,10300,4900,44300,32100,151600,100,100,0,0,1597600,88500,22900,2023,17108.0,11061.0,28169.0
New Mexico,21264720.0,4.5,7100,3900,37600,28600,155900,100,100,0,0,1584500,88000,23600,2022,16097.24199,10734.0,26831.0
Nevada,33756380.0,4.5,5100,2900,37300,0,171800,6200,0,0,0,2005700,90600,32800,2018,5701.0887006600005,22617.923470205,28319.012170865004
Nevada,33756380.0,4.5,7900,3600,40100,0,181300,5700,0,0,0,2037600,95500,32000,2019,5639.128881684999,23154.608551485,28793.73743317
Nevada,33756380.0,4.5,11000,4200,42900,0,183700,5100,0,0,0,2036400,99100,28900,2020,5332.92905,19898.41731,25231.34636
Nevada,33756380.0,4.5,17400,6300,50200,21300,133600,300,100,0,0,2140700,84700,22800,2021,5930.60297,21146.00503,27076.608
Nevada,33756380.0,4.5,47400,10600,69600,27200,125600,200,100,0,0,2169300,85800,20300,2023,5859.0,21918.0,27777.0
Nevada,33756380.0,4.5,32900,8800,59100,24700,130700,200,100,0,0,2157700,85200,21300,2022,5926.9028,21720.0,27647.0
New York,217133820.0,4.5,15500,24300,173200,0,1003900,7800,0,0,0,9967300,184600,107000,2018,25303.33211305,98207.0665203,123510.39863335
New York,217133820.0,4.5,23000,28000,182800,0,1027800,7000,0,0,0,9935300,186100,107200,2019,25486.971643050005,98499.1826779,123986.15432095
New York,217133820.0,4.5,32600,32600,192700,0,1020500,6200,0,0,0,9890800,189900,102600,2020,21922.33297,80554.54157,102476.87454
New York,217133820.0,4.5,51900,44600,221600,43000,663700,900,100,0,0,10116400,152400,83200,2021,23327.91947,83541.83953,106869.759
New York,217133820.0,4.5,131300,92300,314000,54300,591100,400,100,0,0,9905500,150500,79100,2023,25133.0,94934.0,120067.0
New York,217133820.0,4.5,84700,59800,259600,48400,633100,400,100,0,0,9987400,152000,80800,2022,24613.35131,90769.0,115382.0
Ohio,126606420.0,4.5,6400,7200,104900,0,1075400,17600,0,0,0,8725900,220800,96000,2018,34637.288702495,79837.15193347,114474.440635965
Ohio,126606420.0,4.5,10200,8600,114500,0,1127400,15800,0,0,0,8735800,231500,92200,2019,35021.94728093,79671.641341365,114693.588622295
Ohio,126606420.0,4.5,14500,9500,124100,0,1153500,14100,0,0,0,8690900,240900,88900,2020,31182.20049,71932.73564,103114.93613
Ohio,126606420.0,4.5,21200,13100,143700,54600,875100,1200,100,0,0,9019200,199200,68800,2021,34033.2023,78889.81375,112923.01605
Ohio,126606420.0,4.5,50400,24000,199800,70300,833500,700,100,0,0,8881400,196200,60900,2023,34693.0,78531.0,113224.0
Ohio,126606420.0,4.5,34100,17800,165700,63400,868500,700,100,0,0,8868300,197000,62700,2022,33984.80782,76593.0,110578.0
Oklahoma,37614540.0,4.5,3700,1300,27800,0,629100,17100,0,0,0,3204200,178300,64500,2018,22096.3646783,23336.64814085,45433.01281915
Oklahoma,37614540.0,4.5,3400,1600,28500,0,621500,15700,0,0,0,3228200,186900,62000,2019,22020.0570095,22628.1795967,44648.2366062
Oklahoma,37614540.0,4.5,3400,1800,30100,0,574100,14800,0,0,0,3126100,190800,60600,2020,20871.70554,21128.473,42000.17854
Oklahoma,37614540.0,4.5,7100,6900,38700,50700,391100,2400,300,0,0,3429700,148500,48700,2021,22464.0325,22295.7282,44759.7607
Oklahoma,37614540.0,4.5,22800,33000,56400,63100,352400,1800,200,0,0,3567500,145700,45000,2023,22763.0,22997.0,45760.0
Oklahoma,37614540.0,4.5,16300,11500,47000,60200,380800,2000,300,0,0,3538100,147500,46200,2022,21946.44141,22619.0,44566.0
Oregon,44715310.0,4.5,13800,8400,96300,0,210600,13500,0,0,0,3177400,238000,85700,2018,14588.95638615,22259.460546,36848.41693215
Oregon,44715310.0,4.5,18800,10400,102000,0,222400,12100,0,0,0,3125800,243500,80100,2019,13608.018196299998,22200.447127,35808.4653233
Oregon,44715310.0,4.5,22800,11800,106100,0,222000,10900,0,0,0,2990200,246200,82600,2020,12375.82088,19922.15757,32297.97845
Oregon,44715310.0,4.5,30300,16900,123200,43900,193700,300,100,0,0,3094700,217800,63900,2021,14870.82027,21971.15532,36841.97559
Oregon,44715310.0,4.5,64400,28800,156900,55500,184600,100,100,0,0,3074300,217000,51000,2023,14640.0,22176.0,36816.0
Oregon,44715310.0,4.5,47000,22500,138900,50200,186300,100,100,0,0,3065400,216100,53200,2022,14603.73545,21972.0,36576.0
Pennsylvania,140438420.0,4.5,8000,9500,114800,0,893300,11900,0,0,0,8661000,227000,77500,2018,34317.91335684,67791.53341542,102109.44677226
Pennsylvania,140438420.0,4.5,12000,11200,126300,0,931800,10500,0,0,0,8676900,234000,72900,2019,34504.763067315,68358.746703705,102863.50977102
Pennsylvania,140438420.0,4.5,17500,12800,140800,0,953200,9600,0,0,0,8781500,241000,69500,2020,31098.67182,56883.81912,87982.49094
Pennsylvania,140438420.0,4.5,26800,17800,168200,58600,723000,1200,100,0,0,9035500,195000,51000,2021,34231.54995,68454.49065,102686.0406
Pennsylvania,140438420.0,4.5,70200,38900,245400,73900,661700,500,100,0,0,8886400,192100,41800,2023,32251.0,67875.0,100126.0
Pennsylvania,140438420.0,4.5,47400,25400,199600,68100,698500,500,100,0,0,8888900,191700,45100,2022,32508.86795,67403.0,99912.0
Rhode Island,12272760.0,4.5,700,1200,12400,0,55500,600,0,0,0,792000,13200,7800,2018,913.315789745,7095.266417155,8008.5822069
Rhode Island,12272760.0,4.5,1100,1300,13100,0,57700,500,0,0,0,792000,13100,7800,2019,918.30014627,6662.532111555,7580.832257825
Rhode Island,12272760.0,4.5,1600,1600,14100,0,59100,500,0,0,0,785400,13300,7500,2020,771.90213,6092.19116,6864.09328
Rhode Island,12272760.0,4.5,2500,2400,16300,2500,44100,100,0,0,0,796100,11300,6300,2021,1006.06823,6520.24385,7526.31208
Rhode Island,12272760.0,4.5,6400,5100,22100,3100,41900,0,0,0,0,782000,11000,6000,2023,898.0,6666.0,7564.0
Rhode Island,12272760.0,4.5,4300,3400,18600,2800,43100,0,0,0,0,782500,11200,6100,2022,885.72997,6645.0,7531.0
South Carolina,52766100.0,4.5,2000,2200,43800,0,462200,14100,0,0,0,3906000,112500,61700,2018,25595.92992381,31204.752827755,56800.682751565
South Carolina,52766100.0,4.5,3000,2600,46500,0,493800,13000,0,0,0,3954600,119000,59600,2019,26014.87656319001,31924.520812685,57939.39737587501
South Carolina,52766100.0,4.5,4400,3000,49700,0,515600,12200,0,0,0,4004100,127200,56200,2020,24390.80677,29581.24525,53972.05201
South Carolina,52766100.0,4.5,7400,4700,57400,32100,411800,400,100,0,0,4200600,104900,46000,2021,26016.24885,31475.70604,57491.95488
South Carolina,52766100.0,4.5,20900,9000,83100,44600,404600,100,100,0,0,4325000,110100,44900,2023,22771.0,38022.0,60794.0
South Carolina,52766100.0,4.5,13500,6700,66800,38300,411400,100,100,0,0,4254700,107600,45500,2022,26420.50982,32568.0,58988.0
South Dakota,9572730.0,4.5,200,300,6300,0,135300,5000,0,0,0,689100,62000,21600,2018,6785.8809679450005,2933.52516468,9719.406132625
South Dakota,9572730.0,4.5,300,400,6600,0,137000,4500,0,0,0,683200,63200,20000,2019,6933.6774143600005,2988.722129445,9922.399543805
South Dakota,9572730.0,4.5,400,500,7200,0,139400,4100,0,0,0,688400,65500,19500,2020,6839.00674,2903.50114,9742.50787
South Dakota,9572730.0,4.5,700,700,8700,16900,105000,100,0,0,0,726200,51100,15700,2021,7087.06185,2906.84888,9993.91073
South Dakota,9572730.0,4.5,1700,1300,11900,21500,98800,0,0,0,0,718300,51200,13300,2023,7230.0,3114.0,10345.0
South Dakota,9572730.0,4.5,1200,1000,10300,20000,105700,0,0,0,0,739400,53000,14500,2022,7125.51968,3044.0,10170.0
Tennessee,70298590.0,4.5,3900,2900,59200,0,567600,19100,0,0,0,5059400,164100,55600,2018,25892.1498954,55429.34107235,81321.49096775
Tennessee,70298590.0,4.5,5700,3600,64300,0,611900,17400,0,0,0,5160900,172700,53000,2019,26183.90177705,56707.86908255,82891.77085959999
Tennessee,70298590.0,4.5,7800,4300,68700,0,638600,16500,0,0,0,5218400,181600,50900,2020,24955.40397,51437.07097,76392.47494
Tennessee,70298590.0,4.5,12200,6300,79800,38400,511000,500,100,0,0,5396100,150200,39600,2021,26888.58927,55707.00324,82595.59251
Tennessee,70298590.0,4.5,33200,11000,113300,53100,509000,200,100,0,0,5620500,160700,37700,2023,27692.0,55713.0,83405.0
Tennessee,70298590.0,4.5,22000,8900,94000,45700,519400,100,100,0,0,5536100,157700,38600,2022,26900.67214,56318.0,83219.0
Texas,292772760.0,4.499532148108542,24500,14700,227700,0,3005900,51300,0,0,0,18453800,1019300,175300,2018,76746.827479225,205290.437622085,282037.26510131
Texas,292772760.0,4.499532148108542,38400,18100,244600,0,3200700,47300,0,100,0,19293900,1070200,178000,2019,78625.132291655,209602.10325283505,288227.23554449005
Texas,292772760.0,4.499532148108542,52200,20400,262300,0,3250000,43600,0,100,0,19609700,1107000,163600,2020,71681.78623,188900.16922,260581.95545
Texas,292772760.0,4.499532148108542,80900,30600,304700,376300,2422300,2200,1600,0,0,20599100,765100,131100,2021,79183.94139,205843.71991,285027.66129
Texas,292772760.0,4.499532148108542,230100,55300,445100,460700,2315400,1300,1300,0,0,21392800,772800,121800,2023,79555.0,220783.0,300338.0
Texas,292772760.0,4.499532148108542,149000,42800,361800,420800,2398800,1400,1400,0,0,21065800,771000,133200,2022,79324.55395,211566.0,290890.0
Utah,31741340.0,4.5,5600,3400,40900,0,214100,9700,0,0,0,2221100,173700,36600,2018,8915.767088179999,23153.520825315,32069.287913495
Utah,31741340.0,4.5,8000,4400,45300,0,230100,9200,0,0,0,2291100,183300,36300,2019,8887.91472158,24022.76040288,32910.67512446
Utah,31741340.0,4.5,11200,5200,49800,0,231700,8700,0,0,0,2346000,191400,35700,2020,8776.5489,21474.63458,30251.18348
Utah,31741340.0,4.5,16500,7500,58500,51600,190200,2600,700,0,0,2428900,153800,27400,2021,9833.1461,23804.80093,33637.94703
Utah,31741340.0,4.5,40000,13000,83200,68500,185200,2200,500,0,0,2499600,158000,26000,2023,9927.0,24657.0,34584.0
Utah,31741340.0,4.5,28000,10200,69300,61500,189900,2300,600,0,0,2454700,155000,26000,2022,9861.91762,24474.0,34336.0
Virginia,90310790.0,4.5,9900,8100,141300,0,569100,15100,0,0,0,6721800,173400,55800,2018,29008.8786174,56327.223439675,85336.102057075
Virginia,90310790.0,4.5,15000,9800,151000,0,603200,13600,0,0,0,6750300,178400,52200,2019,29392.148877455,56040.335275625,85432.48415308
Virginia,90310790.0,4.5,20500,11200,157800,0,618500,12200,0,0,0,6646500,183700,46800,2020,26438.34349,49671.92574,76110.26923
Virginia,90310790.0,4.5,30700,15800,176500,35300,506600,600,100,0,0,6661000,154300,32700,2021,30018.25769,50084.20841,80102.4661
Virginia,90310790.0,4.5,84900,26800,229400,44300,484800,300,0,0,0,6670000,152800,30200,2023,26814.0,60916.0,87730.0
Virginia,90310790.0,4.5,56600,21700,198400,40000,496200,300,0,0,0,6643300,153700,31900,2022,29109.38633,52974.0,82083.0
Vermont,7376330.0,4.5,1100,2000,12600,0,57500,600,0,0,0,513600,19100,7700,2018,5216.94078352,2129.4093941,7346.350177619999
Vermont,7376330.0,4.5,1700,2000,13300,0,59100,600,0,0,0,509000,19400,7400,2019,5221.399601765001,2124.2273206150003,7345.626922380001
Vermont,7376330.0,4.5,2200,2300,13900,0,58800,500,0,0,0,501000,19700,6800,2020,4272.6057,1734.3694,6006.9751
Vermont,7376330.0,4.5,3400,3200,15800,5600,42000,100,0,0,0,511900,15000,5400,2021,4702.39178,1922.66321,6625.05499
Vermont,7376330.0,4.5,7800,5700,20300,7000,36600,0,0,0,0,496000,14700,5000,2023,5104.0,2068.0,7172.0
Vermont,7376330.0,4.5,5300,4200,17800,6400,40000,0,0,0,0,501500,14700,5100,2022,5061.96779,2066.0,7128.0
Washington,82399840.0,4.5,30200,13700,177800,0,387400,21400,0,0,0,5608000,295400,110600,2018,17426.384174645,44940.27195645,62366.656131095006
Washington,82399840.0,4.5,40400,16100,193400,0,408800,19600,0,0,0,5612100,308700,100300,2019,17496.734477585,45032.903839625,62529.63831721
Washington,82399840.0,4.5,50500,18400,211300,0,424000,18700,0,0,0,5687600,326300,95300,2020,15493.03656,38165.20474,53658.2413
Washington,82399840.0,4.5,66800,24300,240000,59000,359700,600,100,0,0,5792000,283600,64400,2021,17036.84354,40759.75257,57796.59611
Washington,82399840.0,4.5,152100,41200,307200,73800,337700,100,100,0,0,5583000,274200,46700,2023,16723.0,43081.0,59804.0
Washington,82399840.0,4.5,104100,31400,270200,67500,348300,100,100,0,0,5650700,277400,52700,2022,16964.79763,41518.0,58483.0
Wisconsin,64475760.0,4.5,3700,4500,70900,0,696300,11400,0,0,0,4515800,162500,47100,2018,33357.19853522,32528.236413610004,65885.43494883
Wisconsin,64475760.0,4.5,4700,5300,76200,0,733700,10100,0,0,0,4519800,168800,45300,2019,33385.58773433,32962.036118075004,66347.623852405
Wisconsin,64475760.0,4.5,6300,5900,82500,0,755700,8700,0,0,0,4494600,175200,41900,2020,29253.11154,28346.82951,57599.94105
Wisconsin,64475760.0,4.5,9300,7700,93500,39800,556500,700,100,0,0,4639100,143300,29900,2021,33249.72774,31733.55173,64983.27947
Wisconsin,64475760.0,4.5,24900,12500,123600,52900,536200,300,0,0,0,4604700,147500,26400,2023,34334.0,32915.0,67248.0
Wisconsin,64475760.0,4.5,15700,10000,105200,46500,549700,300,0,0,0,4577400,144500,26900,2022,33810.57855,32356.0,66167.0
West Virginia,17305130.0,4.5,200,500,10100,0,172900,3500,0,0,0,1256800,54700,16500,2018,9868.280034075,9579.043176675,19447.32321075
West Virginia,17305130.0,4.5,400,600,10900,0,177300,3100,0,0,0,1234300,56300,15400,2019,9610.32561165,9466.23404835,19076.55966
West Virginia,17305130.0,4.5,600,700,11900,0,178200,2800,0,0,0,1216500,57800,14200,2020,8260.11577,7794.02448,16054.14025
West Virginia,17305130.0,4.5,1000,1000,14500,13900,129800,200,0,0,0,1268300,46100,10900,2021,8312.98006,7766.29487,16079.27494
West Virginia,17305130.0,4.5,2800,1800,22400,17300,123400,100,0,0,0,1281500,46400,15200,2023,8145.0,7817.0,15962.0
West Virginia,17305130.0,4.5,1900,1400,18300,15600,127500,100,0,0,0,1267500,45700,10900,2022,7987.65311,7325.0,15312.0
Wyoming,6170640.0,4.5,200,200,4100,0,71500,4200,0,0,0,450100,72900,20400,2018,7386.93206303,3051.51055025,10438.44261328
Wyoming,6170640.0,4.5,200,200,4200,0,75100,3800,0,0,0,452800,75400,19100,2019,7189.574858225,3018.03078947,10207.605647695
Wyoming,6170640.0,4.5,300,300,4700,0,77100,3600,0,0,0,456200,77400,18700,2020,7138.56202,2661.75779,9800.31981
Wyoming,6170640.0,4.5,500,400,5700,17100,59400,100,0,0,0,482400,62100,15600,2021,8202.1481,2894.37205,11096.52015
Wyoming,6170640.0,4.5,1100,800,8400,21200,57700,0,0,0,0,489100,60900,13700,2023,6996.0,2523.0,9519.0
Wyoming,6170640.0,4.5,800,600,6900,19100,58600,0,0,0,0,483000,61200,14200,2022,6716.98562,2607.0,9324.0
